['bmh', 'classic', 'dark_background', 'fast', 'fivethirtyeight', 'ggplot', 'grayscale', 'seaborn-bright', 'seaborn-colorblind', 'seaborn-dark-palette', 'seaborn-dark', 'seaborn-darkgrid', 'seaborn-deep', 'seaborn-muted', 'seaborn-notebook', 'seaborn-paper', 'seaborn-pastel', 'seaborn-poster', 'seaborn-talk', 'seaborn-ticks', 'seaborn-white', 'seaborn-whitegrid', 'seaborn', 'Solarize_Light2', '_classic_test']
         828034 function calls (814815 primitive calls) in 2.234 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 __init__.py:190(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:1936(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1939(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1950(wm_protocol)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:1977(wm_title)
      157    0.000    0.000    0.001    0.000 __init__.py:1983(is_math_text)
        2    0.000    0.000    0.000    0.000 __init__.py:1986(wm_withdraw)
        1    0.000    0.000    0.000    0.000 __init__.py:1993(Tk)
        1    0.000    0.000    0.069    0.069 __init__.py:1997(__init__)
     1331    0.001    0.000    0.005    0.000 __init__.py:1999(_to_unmasked_float_array)
        1    0.000    0.000    0.001    0.001 __init__.py:2(<module>)
       32    0.000    0.000    0.000    0.000 __init__.py:2010(_check_1d)
        1    0.000    0.000    0.000    0.000 __init__.py:2027(_loadtk)
        1    0.000    0.000    0.008    0.008 __init__.py:2052(destroy)
        1    0.000    0.000    0.000    0.000 __init__.py:2061(readprofile)
        1    0.000    0.000    0.000    0.000 __init__.py:207(c_longlong)
      444    0.001    0.000    0.015    0.000 __init__.py:208(__call__)
        3    0.000    0.000    0.000    0.000 __init__.py:211(_is_writable_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:211(c_ulonglong)
        1    0.000    0.000    0.000    0.000 __init__.py:2115(Pack)
        1    0.000    0.000    0.000    0.000 __init__.py:2119(_NestedClassGetter)
       12    0.000    0.000    0.000    0.000 __init__.py:2119(pack_configure)
        1    0.000    0.000    0.000    0.000 __init__.py:2139(_InstanceMethodPickler)
        1    0.000    0.000    0.000    0.000 __init__.py:2154(Place)
        1    0.000    0.000    0.000    0.000 __init__.py:218(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:219(Verbose)
        1    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:2198(Grid)
        1    0.000    0.000    0.000    0.000 __init__.py:2245(BaseWidget)
       12    0.000    0.000    0.000    0.000 __init__.py:2247(_setup)
        1    0.000    0.000    0.000    0.000 __init__.py:225(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:225(c_byte)
      339    0.000    0.000    0.000    0.000 __init__.py:2265(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
       12    0.000    0.000    0.003    0.000 __init__.py:2280(__init__)
       12    0.000    0.000    0.000    0.000 __init__.py:2289(<listcomp>)
     12/2    0.000    0.000    0.004    0.002 __init__.py:2296(destroy)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_char)
      293    0.000    0.000    0.001    0.000 __init__.py:2300(safe_first_element)
        1    0.000    0.000    0.000    0.000 __init__.py:2307(Widget)
        1    0.000    0.000    0.000    0.000 __init__.py:2314(Toplevel)
       16    0.000    0.000    0.000    0.000 __init__.py:2316(sanitize_sequence)
        8    0.000    0.000    0.000    0.000 __init__.py:2321(normalize_kwargs)
        1    0.000    0.000    0.000    0.000 __init__.py:2342(Button)
        7    0.000    0.000    0.002    0.000 __init__.py:2344(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:2387(Canvas)
        1    0.000    0.000    0.000    0.000 __init__.py:2389(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:239(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:24(<module>)
        8    0.000    0.000    0.000    0.000 __init__.py:2406(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:241(c_void_p)
        8    0.000    0.000    0.000    0.000 __init__.py:2411(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:243(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2445(Locked)
        1    0.000    0.000    0.000    0.000 __init__.py:2459(TimeoutError)
        1    0.000    0.000    0.000    0.000 __init__.py:246(c_bool)
        2    0.000    0.000    0.003    0.001 __init__.py:2464(_create)
        2    0.000    0.000    0.000    0.000 __init__.py:247(set_level)
        2    0.000    0.000    0.003    0.001 __init__.py:2481(create_image)
       80    0.000    0.000    0.000    0.000 __init__.py:249(__hash__)
        4    0.000    0.000    0.000    0.000 __init__.py:25(get_projection_class)
        1    0.000    0.000    0.000    0.000 __init__.py:2500(_FuncInfo)
       14    0.000    0.000    0.000    0.000 __init__.py:2506(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2506(delete)
        1    0.000    0.000    0.000    0.000 __init__.py:251(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:256(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:257(CallbackRegistry)
        1    0.000    0.000    0.000    0.000 __init__.py:258(set_fileo)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:2594(_StringFuncParser)
        1    0.000    0.000    0.000    0.000 __init__.py:2628(Checkbutton)
        1    0.000    0.000    0.000    0.000 __init__.py:2657(Entry)
        1    0.000    0.000    0.000    0.000 __init__.py:2722(Frame)
        3    0.000    0.000    0.000    0.000 __init__.py:2724(__init__)
        1    0.000    0.000    0.004    0.004 __init__.py:274(load)
        1    0.000    0.000    0.000    0.000 __init__.py:2740(Label)
        1    0.000    0.000    0.000    0.000 __init__.py:2742(__init__)
       23    0.000    0.000    0.000    0.000 __init__.py:275(report)
       80    0.000    0.000    0.000    0.000 __init__.py:2756(_topmost_artist)
        1    0.000    0.000    0.000    0.000 __init__.py:2762(Listbox)
        1    0.000    0.000    0.000    0.000 __init__.py:2853(Menu)
        4    0.000    0.000    0.000    0.000 __init__.py:286(wrap)
        1    0.000    0.000    0.000    0.000 __init__.py:288(Variable)
        1    0.000    0.000    0.000    0.000 __init__.py:2956(Menubutton)
        1    0.000    0.000    0.000    0.000 __init__.py:296(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2961(Message)
        1    0.000    0.000    0.000    0.000 __init__.py:2966(Radiobutton)
     12/8    0.000    0.000    0.001    0.000 __init__.py:297(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:2993(Scale)
        2    0.000    0.000    0.008    0.004 __init__.py:3(<module>)
        2    0.000    0.000    0.003    0.002 __init__.py:302(loads)
        1    0.000    0.000    0.000    0.000 __init__.py:3026(Scrollbar)
        1    0.000    0.000    0.000    0.000 __init__.py:3070(Text)
       23    0.000    0.000    0.000    0.000 __init__.py:309(ge)
        1    0.000    0.000    0.013    0.013 __init__.py:31(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:31(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:311(CDLL)
       61    0.000    0.000    0.000    0.000 __init__.py:313(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:325(__del__)
        4    0.000    0.000    0.000    0.000 __init__.py:332(__init__)
       40    0.000    0.000    0.001    0.000 __init__.py:333(connect)
        1    0.000    0.000    0.000    0.000 __init__.py:336(__str__)
      222    0.000    0.000    0.011    0.000 __init__.py:339(set)
        4    0.000    0.000    0.000    0.000 __init__.py:342(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:3427(_setit)
        1    0.000    0.000    0.000    0.000 __init__.py:3438(OptionMenu)
        1    0.000    0.000    0.000    0.000 __init__.py:3475(Image)
       10    0.000    0.000    0.012    0.001 __init__.py:3478(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:3497(__str__)
        9    0.000    0.000    0.000    0.000 __init__.py:3498(__del__)
        1    0.000    0.000    0.000    0.000 __init__.py:3532(PhotoImage)
       10    0.000    0.000    0.012    0.001 __init__.py:3534(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:358(__getattr__)
       27    0.001    0.000    0.011    0.000 __init__.py:359(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:3596(BitmapImage)
        1    0.000    0.000    0.000    0.000 __init__.py:3611(Spinbox)
        1    0.000    0.000    0.000    0.000 __init__.py:362(disconnect)
        3    0.000    0.000    0.000    0.000 __init__.py:365(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:37(build_ext)
        1    0.000    0.000    0.000    0.000 __init__.py:371(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:3769(LabelFrame)
        1    0.000    0.000    0.000    0.000 __init__.py:378(PercentStyle)
      364    0.001    0.000    0.017    0.000 __init__.py:378(process)
        1    0.000    0.000    0.000    0.000 __init__.py:3791(PanedWindow)
        1    0.000    0.000    0.000    0.000 __init__.py:380(WinDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:384(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:389(HRESULT)
        1    0.000    0.000    0.000    0.000 __init__.py:393(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:400(silent_list)
        1    0.000    0.000    0.000    0.000 __init__.py:402(OleDLL)
